;meanBlue;meanRed;sdBlue;skewnessBlue;dfRG;dfRB;dfGB;entropyBlue;energyBlue;contrastBlue;homogeneityBlue;coverage;cloudType
535;151,6152344;120,9591064;56,49651192;-0,685313194;-34,70135498;-30,65612793;4,045227051;-5,486679267;0,00639242;4,143;0,694174106;0,357666016;2
536;159,288208;114,9841919;50,39762673;-1,413129432;-37,7444458;-44,30401611;-6,559570313;-5,685649848;0,0038346;15,1826;0,632035871;0,396179199;2
537;158,541687;136,7276611;49,02422146;-1,680507003;-30,19134521;-21,81402588;8,377319336;-5,781311511;0,00447246;8,6422;0,62801596;0,768493652;2
538;160,6773071;135,7200317;53,21297451;-1,340019002;-32,27154541;-24,95727539;7,31427002;-5,815266582;0,00417291;8,6876;0,636776331;0,691223145;2
539;158,0773315;124,034668;52,61183275;-1,564002633;-36,19317627;-34,04266357;2,150512695;-5,936130488;0,00361086;8,2406;0,639236343;0,489318848;2
540;155,9273682;129,2172852;57,16853373;-1,017007773;-33,7409668;-26,71008301;7,030883789;-5,738746992;0,00528527;5,2566;0,66817514;0,577270508;2
541;163,6609497;130,1862183;63,21894152;-0,991703423;-36,19958496;-33,47473145;2,724853516;-5,566582363;0,00432888;21,7096;0,616141138;0,447509766;2
542;148,7935791;129,440979;54,68417148;-1,03954454;-32,92926025;-19,3526001;13,57666016;-5,516660475;0,00414817;14,8652;0,614252811;0,786437988;2
543;150,3078003;119,706604;57,65695283;-0,843969978;-37,95324707;-30,60119629;7,352050781;-5,805016767;0,00309733;17,625;0,603708058;0,505737305;2
544;161,1522827;122,7826538;57,87263783;-1,075839484;-36,54937744;-38,36962891;-1,820251465;-5,890874337;0,00341908;20,4734;0,601436061;0,447265625;2
545;153,6350098;99,61779785;54,49861347;-1,040544623;-46,10186768;-54,01721191;-7,915344238;-5,62890924;0,0037621;15,4514;0,618650083;0,235046387;2
546;151,442627;94,07617188;54,50935767;-0,722931323;-45,1494751;-57,36645508;-12,21697998;-5,593374493;0,00410626;18,0054;0,629540181;0,254455566;2
547;155,5932617;126,0778198;49,972954;-1,263224908;-33,76031494;-29,51544189;4,244873047;-5,759837259;0,00377498;9,0234;0,638229858;0,676391602;2
548;153,1832886;120,2304077;52,60274448;-0,836308461;-36,54644775;-32,95288086;3,593566895;-5,679011031;0,00406006;21,4946;0,60539072;0,472595215;2
549;152,2572021;123,2335815;58,4302185;-0,840016692;-36,52410889;-29,02362061;7,500488281;-5,592330645;0,00264429;29,6964;0,576435513;0,581726074;2
550;170,357605;108,1879883;61,70445525;-1,365593118;-53,55383301;-62,1696167;-8,615783691;-5,714056126;0,00357167;23,432;0,620531978;0,264221191;2
551;167,6756592;119,7722778;56,99832882;-1,510806911;-43,60955811;-47,90338135;-4,293823242;-5,848147524;0,00361224;13,7522;0,627558525;0,326049805;2
552;165,2006836;110,2764282;60,68697444;-1,111766048;-47,6151123;-54,92425537;-7,309143066;-6,082988541;0,00293769;22,7384;0,628952333;0,206359863;2
553;173,2627563;118,9849243;54,20537501;-2,094100993;-46,79370117;-54,27783203;-7,484130859;-5,809637466;0,00363004;22,8748;0,598654896;0,299926758;2
554;174,4381714;130,0882568;53,11589691;-2,162565159;-34,33764648;-44,34991455;-10,01226807;-5,889016262;0,00412873;13,2482;0,612215847;0,209350586;2
555;163,2521973;98,94915771;52,76398355;-1,632864673;-52,33404541;-64,30303955;-11,96899414;-5,728120572;0,0049386;2,856;0,701155231;0,159301758;2
556;155,7333984;110,3984985;58,78064634;-0,626772366;-39,91217041;-45,3348999;-5,422729492;-5,598129125;0,00583405;8,3766;0,655648328;0,308166504;2
557;145,0266113;90,20001221;50,54759657;-0,673837599;-44,14666748;-54,82659912;-10,67993164;-5,681952226;0,00447235;7,083;0,67924595;0,148498535;2
558;173,4862671;145,0767212;50,95961831;-2,52098989;-31,7387085;-28,4095459;3,329162598;-5,786278791;0,0051544;9,453;0,636787663;0,679748535;2
559;157,572876;139,7537231;44,63324464;-2,238951169;-28,94573975;-17,81915283;11,12658691;-5,597348367;0,00660333;3,4984;0,700647958;0,892456055;2
560;165,2767944;136,2732544;57,00294143;-1,594695573;-35,71655273;-29,00354004;6,713012695;-5,992937296;0,00366102;8,9984;0,637762828;0,56237793;2
561;152,3296509;125,8900757;48,01529509;-2,059876017;-32,53588867;-26,4395752;6,096313477;-5,68962283;0,00569777;6,3136;0,660666153;0,503234863;2
562;153,3875122;96,82550049;55,1057266;-1,222462213;-51,03967285;-56,56201172;-5,522338867;-5,664816747;0,00481218;4,8118;0,684000844;0,206054688;2
563;159,6885376;109,805481;55,46183309;-1,382574423;-45,53924561;-49,88305664;-4,343811035;-5,725372663;0,0051207;5,2948;0,671007611;0,253662109;2
564;151,5728149;125,3768921;52,00577647;-1,343240801;-32,75701904;-26,19592285;6,561096191;-5,754440081;0,00425796;8,3726;0,630104803;0,528381348;2
565;162,4121704;126,0005493;54,05512397;-2,01747611;-38,81951904;-36,41162109;2,407897949;-5,830840259;0,00415402;12,5308;0,620295273;0,479003906;2
566;147,4883423;106,7473145;52,03981067;-0,683083256;-38,2088623;-40,74102783;-2,532165527;-5,761811152;0,00448559;7,5438;0,658887704;0,269897461;2
567;132,2548828;112,7819214;52,45050295;-0,381207684;-30,25061035;-19,47296143;10,77764893;-5,990926227;0,00278338;6,8686;0,641868726;0,687438965;2
568;151,6257935;129,3369751;49,9109678;-1,418049191;-32,62646484;-22,28881836;10,33764648;-5,768186251;0,00400419;8,2574;0,655476945;0,809020996;2
